id,user_id,restaurant_id,date,rating,price_satisfaction,visit_frequency
REV_001_001,USR_001,RST_002,2025-05-12,3,1,2
REV_001_002,USR_001,RST_003,2025-05-13,5,1,2
REV_001_003,USR_001,RST_001,2025-05-13,4,1,9
REV_001_004,USR_001,RST_004,2025-05-13,4,1,4
REV_001_005,USR_001,RST_005,2025-05-14,5,1,1
REV_001_006,USR_001,RST_006,2025-05-14,4,1,3
REV_001_007,USR_001,RST_007,2025-05-15,4,1,3
REV_001_008,USR_001,RST_008,2025-05-16,5,1,5
REV_001_009,USR_001,RST_009,2025-05-16,5,1,2
REV_001_010,USR_001,RST_010,2025-05-19,4,1,2
REV_001_011,USR_001,RST_012,2025-05-20,3,1,3
REV_001_012,USR_001,RST_011,2025-05-20,4,1,3
REV_001_013,USR_001,RST_013,2025-05-21,4,0,3
REV_001_014,USR_001,RST_014,2025-05-22,3,0,2
REV_001_015,USR_001,RST_015,2025-05-22,3,1,1
REV_001_016,USR_001,RST_016,2025-05-23,4,1,2
REV_001_017,USR_001,RST_019,2025-05-24,5,1,2
REV_001_018,USR_001,RST_017,2025-05-25,4,1,3
REV_001_019,USR_001,RST_018,2025-05-25,4,1,2
REV_001_020,USR_001,RST_028,2025-05-28,4,1,2
REV_001_021,USR_001,RST_031,2025-06-18,4,1,3
REV_001_022,USR_001,RST_058,2025-06-19,1,1,1
REV_001_023,USR_001,RST_059,2025-06-25,4,1,2
REV_001_024,USR_001,RST_060,2025-06-26,4,1,1
REV_001_025,USR_001,RST_045,2025-06-29,5,1,2
REV_001_026,USR_001,RST_066,2025-07-01,4,1,2
REV_001_027,USR_001,RST_061,2025-07-01,4,1,1
REV_001_028,USR_001,RST_068,2025-07-02,5,1,1
REV_001_029,USR_001,RST_038,2025-07-02,5,1,1
REV_001_030,USR_001,RST_069,2025-07-03,4,1,1
REV_001_031,USR_001,RST_024,2025-07-04,5,1,1
REV_001_032,USR_001,RST_070,2025-07-06,4,1,1
REV_001_033,USR_001,RST_044,2025-07-06,4,0,1
REV_003_001,USR_003,RST_020,2025-05-01,4,1,7
REV_003_002,USR_003,RST_017,2025-05-02,5,1,7
REV_003_003,USR_003,RST_014,2025-05-03,1,0,1
REV_003_004,USR_003,RST_001,2025-05-04,4,1,4
REV_003_005,USR_003,RST_021,2025-05-05,4,1,1
REV_003_006,USR_003,RST_022,2025-05-06,3,1,1
REV_003_007,USR_003,RST_023,2025-05-07,5,1,1
REV_003_008,USR_003,RST_024,2025-05-08,5,1,2
REV_003_009,USR_003,RST_061,2025-05-10,5,1,3
REV_003_010,USR_003,RST_040,2025-05-11,3,1,1
REV_003_011,USR_003,RST_012,2025-05-12,4,1,1
REV_003_012,USR_003,RST_025,2025-05-13,4,1,1
REV_003_013,USR_003,RST_006,2025-05-14,5,1,2
REV_003_014,USR_003,RST_063,2025-05-15,4,1,1
REV_003_015,USR_003,RST_028,2025-05-16,1,1,1
REV_004_001,USR_004,RST_025,2025-05-12,3,1,1
REV_004_002,USR_004,RST_064,2025-05-12,4,0,7
REV_004_003,USR_004,RST_063,2025-05-12,5,1,6
REV_004_004,USR_004,RST_042,2025-05-13,4,1,1
REV_004_005,USR_004,RST_020,2025-05-14,3,1,7
REV_004_006,USR_004,RST_024,2025-05-16,4,1,2
REV_004_007,USR_004,RST_062,2025-05-16,5,1,18
REV_004_008,USR_004,RST_017,2025-05-17,4,1,8
REV_004_009,USR_004,RST_003,2025-05-17,5,1,2
REV_004_010,USR_004,RST_011,2025-05-18,4,1,2
REV_004_011,USR_004,RST_015,2025-06-16,4,1,1
REV_004_012,USR_004,RST_032,2025-06-17,4,1,1
REV_004_013,USR_004,RST_035,2025-06-18,4,0,1
REV_004_014,USR_004,RST_006,2025-06-19,3,1,1
REV_004_015,USR_004,RST_004,2025-06-20,4,1,1
REV_004_016,USR_004,RST_029,2025-06-22,4,1,1
REV_004_017,USR_004,RST_012,2025-06-25,3,1,1
REV_004_018,USR_004,RST_050,2025-06-27,4,0,1
REV_004_019,USR_004,RST_061,2025-06-29,4,0,2
REV_005_001,USR_005,RST_004,2025-05-19,4,1,3
REV_005_002,USR_005,RST_010,2025-05-19,3,1,2
REV_005_003,USR_005,RST_011,2025-05-20,5,1,3
REV_005_004,USR_005,RST_012,2025-05-20,4,1,3
REV_005_005,USR_005,RST_013,2025-05-21,4,1,2
REV_005_006,USR_005,RST_014,2025-05-22,4,0,2
REV_005_007,USR_005,RST_015,2025-05-22,4,1,1
REV_005_008,USR_005,RST_002,2025-05-23,4,1,2
REV_005_009,USR_005,RST_016,2025-05-23,4,1,2
REV_005_010,USR_005,RST_007,2025-05-24,4,1,2
REV_005_011,USR_005,RST_019,2025-05-24,4,1,2
REV_005_012,USR_005,RST_017,2025-05-25,4,1,3
REV_005_013,USR_005,RST_018,2025-05-25,5,1,2
REV_005_014,USR_005,RST_003,2025-05-26,5,1,1
REV_005_015,USR_005,RST_001,2025-05-27,4,1,6
REV_005_016,USR_005,RST_008,2025-05-27,4,1,4
REV_005_017,USR_005,RST_028,2025-05-28,4,1,2
REV_005_018,USR_005,RST_058,2025-06-19,1,0,1
REV_005_019,USR_005,RST_036,2025-06-24,4,1,1
REV_005_020,USR_005,RST_044,2025-06-24,4,1,2
REV_005_021,USR_005,RST_059,2025-06-25,4,1,2
REV_005_022,USR_005,RST_060,2025-06-26,4,1,1
REV_005_023,USR_005,RST_006,2025-06-27,4,1,1
REV_005_024,USR_005,RST_045,2025-06-29,4,1,2
REV_005_025,USR_005,RST_061,2025-07-01,4,1,1
REV_005_026,USR_005,RST_066,2025-07-01,4,1,2
REV_005_027,USR_005,RST_038,2025-07-02,4,1,1
REV_005_028,USR_005,RST_068,2025-07-02,5,1,1
REV_005_029,USR_005,RST_069,2025-07-03,4,1,1
REV_005_030,USR_005,RST_031,2025-07-06,3,1,1
REV_006_001,USR_006,RST_024,2025-06-22,5,1,1
REV_006_002,USR_006,RST_062,2025-06-23,3,1,3
REV_006_003,USR_006,RST_071,2025-06-24,3,1,2
REV_006_004,USR_006,RST_043,2025-06-25,3,1,1
REV_006_005,USR_006,RST_034,2025-06-26,4,0,1
REV_006_006,USR_006,RST_072,2025-06-27,5,0,1
REV_006_007,USR_006,RST_080,2025-06-28,4,1,2
REV_006_008,USR_006,RST_017,2025-06-29,5,0,4
REV_006_009,USR_006,RST_012,2025-06-30,5,1,2
REV_006_010,USR_006,RST_001,2025-07-01,3,1,1
REV_006_011,USR_006,RST_003,2025-07-02,5,1,1
REV_006_012,USR_006,RST_055,2025-07-03,4,1,1
REV_006_013,USR_006,RST_073,2025-07-04,4,0,2
REV_006_014,USR_006,RST_014,2025-07-05,3,1,1
REV_006_015,USR_006,RST_074,2025-07-06,5,1,1
REV_006_016,USR_006,RST_075,2025-07-07,4,1,2
REV_006_017,USR_006,RST_076,2025-07-08,4,0,2
REV_006_018,USR_006,RST_040,2025-07-09,3,0,1
REV_006_019,USR_006,RST_009,2025-07-10,3,1,1
REV_006_020,USR_006,RST_077,2025-07-11,3,1,1
REV_006_021,USR_006,RST_078,2025-07-12,3,0,1
REV_006_022,USR_006,RST_002,2025-07-13,4,1,1
REV_006_023,USR_006,RST_006,2025-07-14,5,0,1
REV_006_024,USR_006,RST_061,2025-07-15,4,1,1
REV_006_025,USR_006,RST_079,2025-07-16,5,1,2
REV_006_026,USR_006,RST_035,2025-07-17,4,0,1
REV_006_027,USR_006,RST_008,2025-07-18,3,1,1
REV_006_028,USR_006,RST_021,2025-07-19,5,0,1
REV_006_029,USR_006,RST_028,2025-07-20,3,1,1
REV_006_030,USR_006,RST_081,2025-07-21,5,1,1
REV_007_001,USR_007,RST_004,2025-06-07,5,1,5
REV_007_002,USR_007,RST_007,2025-06-08,4,1,3
REV_007_003,USR_007,RST_008,2025-06-09,4,1,3
REV_007_004,USR_007,RST_031,2025-06-10,5,1,4
REV_007_005,USR_007,RST_049,2025-06-11,4,1,2
REV_007_006,USR_007,RST_004,2025-06-12,5,1,5
REV_007_007,USR_007,RST_007,2025-06-13,4,1,3
REV_007_008,USR_007,RST_008,2025-06-14,4,1,3
REV_007_009,USR_007,RST_031,2025-06-15,5,1,4
REV_007_010,USR_007,RST_049,2025-06-16,4,1,2
REV_007_011,USR_007,RST_004,2025-06-17,5,1,5
REV_007_012,USR_007,RST_007,2025-06-18,4,1,3
REV_007_013,USR_007,RST_008,2025-06-19,4,1,3
REV_007_014,USR_007,RST_031,2025-06-20,5,1,4
REV_007_015,USR_007,RST_049,2025-06-21,4,1,2
REV_007_016,USR_007,RST_004,2025-06-22,5,1,5
REV_007_017,USR_007,RST_007,2025-06-23,4,1,3
REV_007_018,USR_007,RST_008,2025-06-24,4,1,3
REV_007_019,USR_007,RST_031,2025-06-25,5,1,4
REV_007_020,USR_007,RST_049,2025-06-26,4,1,2
REV_008_001,USR_008,RST_013,2025-06-07,5,0,1
REV_008_002,USR_008,RST_035,2025-06-08,4,1,2
REV_008_003,USR_008,RST_006,2025-06-10,3,1,1
REV_008_004,USR_008,RST_060,2025-06-14,4,0,1
REV_008_005,USR_008,RST_023,2025-06-15,5,1,2
REV_008_006,USR_008,RST_012,2025-06-17,3,1,1
REV_008_007,USR_008,RST_013,2025-06-21,5,0,1
REV_008_008,USR_008,RST_035,2025-06-22,4,1,2
REV_008_009,USR_008,RST_006,2025-06-24,3,1,1
REV_008_010,USR_008,RST_060,2025-06-28,4,0,1
REV_008_011,USR_008,RST_023,2025-06-29,5,1,2
REV_008_012,USR_008,RST_012,2025-07-01,3,1,1
REV_009_001,USR_009,RST_050,2025-06-07,5,1,3
REV_009_002,USR_009,RST_051,2025-06-09,4,1,2
REV_009_003,USR_009,RST_041,2025-06-11,4,1,3
REV_009_004,USR_009,RST_007,2025-06-13,3,1,2
REV_009_005,USR_009,RST_050,2025-06-14,5,1,3
REV_009_006,USR_009,RST_051,2025-06-16,4,1,2
REV_009_007,USR_009,RST_041,2025-06-18,4,1,3
REV_009_008,USR_009,RST_007,2025-06-20,3,1,2
REV_010_001,USR_010,RST_001,2025-06-07,5,1,5
REV_010_002,USR_010,RST_002,2025-06-08,4,1,4
REV_010_003,USR_010,RST_015,2025-06-09,3,1,3
REV_010_004,USR_010,RST_029,2025-06-10,5,1,5
REV_010_005,USR_010,RST_001,2025-06-11,5,1,5
REV_010_006,USR_010,RST_002,2025-06-12,4,1,4
REV_010_007,USR_010,RST_015,2025-06-13,3,1,3
REV_010_008,USR_010,RST_029,2025-06-14,5,1,5
